neighborhood_code,exposure_month,lst
3,2021_01_01,
3,2021_01_02,39.336491379623666
3,2021_01_03,38.79736914851088
3,2021_01_04,38.727632670134206
3,2021_01_05,40.69611019168468
3,2021_01_06,36.34726584948885
3,2021_01_07,44.3761848470519
3,2021_01_08,
3,2021_01_09,36.97173335030774
3,2021_01_10,32.03991870657954
3,2021_01_11,31.91117966391482
3,2021_01_12,
3,2021_01_13,32.196246226312574
3,2021_01_14,38.284794675007944
3,2021_01_15,30.20751945949864
3,2021_01_16,36.07050649256136
3,2021_01_17,
3,2021_01_18,
3,2021_01_19,33.49930145855267
3,2021_01_20,34.809065034736385
3,2021_01_21,39.99270305168573
3,2021_01_22,
3,2021_01_23,
3,2021_01_24,
3,2021_01_25,40.04806377987145
3,2021_01_26,36.898313206998026
3,2021_01_27,39.81375613792542
3,2021_01_28,31.721891936128912
3,2021_01_29,
3,2021_01_30,41.80860282617453
3,2021_01_31,
3,2021_02_01,35.1532947102815
3,2021_02_02,
3,2021_02_03,
3,2021_02_04,
3,2021_02_05,
3,2021_02_06,
3,2021_02_07,29.908313025133463
3,2021_02_08,35.94106290692139
3,2021_02_09,
3,2021_02_10,32.10287109445982
3,2021_02_11,
3,2021_02_12,42.54273351398492
3,2021_02_13,45.127966937038764
3,2021_02_14,37.90808505801467
3,2021_02_15,41.950806296147476
3,2021_02_16,
3,2021_02_17,
3,2021_02_18,
3,2021_02_19,
3,2021_02_20,
3,2021_02_21,
3,2021_02_22,36.91887416797034
3,2021_02_23,33.607849088858636
3,2021_02_24,45.139068762957535
3,2021_02_25,
3,2021_02_26,35.972652129632614
3,2021_02_27,30.887320408831147
3,2021_02_28,35.318228912813936
3,2021_03_01,37.63726303058975
3,2021_03_02,34.347538918997444
3,2021_03_03,41.04498090423024
3,2021_03_04,32.66415614883817
3,2021_03_05,43.055670443385594
3,2021_03_06,
3,2021_03_07,41.75468846615556
3,2021_03_08,38.41831602589785
3,2021_03_09,40.76343687484129
3,2021_03_10,
3,2021_03_11,
3,2021_03_12,37.55301222129244
3,2021_03_13,
3,2021_03_14,41.05373549630788
